Perfil,Unidade,Serie,Curso,Questão 1. Sei obter informações para realizar os procedimentos administrativos,Questão 3. O horário de atendimento dos docentes é amplamente divulgado e de fácil acesso.,Questão 3. O horário de atendimento dos técnicos administrativos é amplamente divulgado e de fácil acesso,Questão 11.  Como você avalia o ambiente para as aulas quanto à acústica,16. Como você avalia a quantidade de material disponibilizado para as atividades de laboratório ?,Questão 17. Os serviços prestados na cantina são adequados?,"Questão 26. Como você avalia o programa de auxílio à participação em eventos acadêmicos, científicos e tecnológicos.",Questão 26. Como você avalia o programa de acompanhamento de serviço social,"Questão 26. Como você avalia a organização de grêmios estudantis, centros acadêmicos e diretórios acadêmicos",Questão 29. Como você avalia a eficiência e eficácia com que os recursos financeiros do IFSULDEMINAS são aplicados?
Discente do Técnico,Machado,3°  ,Técnico em Alimentos | Integrado,"Não concordo, nem discordo",Concordo,Discordo plenamente,Bom/Boa,Regular,Regulares,Não sei,Não sei,Não sei,Muito ruins
Discente do Técnico,Machado,3°,Técnico em Informática | Integrado,Discordo,Concordo,Discordo plenamente,Regular,Regular,Bons/Boas,Bom,Não sei,Regular,Não sei responder
Discente do Superior,Machado,6°,Bacharelado Sistemas de Informação,"Não concordo, nem discordo",Discordo,Discordo plenamente,Muito Bom/Boa,Muito boa,Bons/Boas,Muito bom,Muito bom,Bom,Boas
Discente do Técnico,Machado,2°  ,Técnico em Agropecuária | Integrado,Discordo plenamente,Discordo plenamente,Discordo plenamente,Muito ruim,Muito ruim,Muito ruins,Muito ruim,Muito ruim,Muito ruim,Muito ruins
TAE,Poços de Caldas,,,Concordo,Concordo plenamente,Concordo plenamente,Bom/Boa,Boa,Bons/Boas,Bom,Bom,Bom,Boas
Discente do Técnico,Poços de Caldas,2°,Técnico em Eletroeletrônica | Integrado,Concordo plenamente,Concordo plenamente,Concordo plenamente,Bom/Boa,Regular,Bons/Boas,Regular,Regular,Regular,Regulares
Discente do Superior,Poços de Caldas,2°,Licenciatura Ciências Biológicas,Concordo,Não concordo nem discordo,Não concordo nem discordo,Muito Bom/Boa,Regular,Ruins,Regular,Regular,Regular,Regulares
Discente do Superior,Poços de Caldas,4°,Bacharelado Engenharia de Computação,Discordo plenamente,Concordo,Concordo,Muito ruim,Boa,Muito ruins,Não sei,Não sei,Não sei,Não sei responder
Discente do Técnico,Poços de Caldas,2°,Técnico em Administração | Integrado,Concordo,Concordo,Concordo,Bom/Boa,Boa,Bons/Boas,Bom,Bom,Bom,Regulares
Discente do Superior,Poços de Caldas,2°,Bacharelado Engenharia de Computação,Concordo plenamente,Concordo,Não sei responder,Muito Bom/Boa,Boa,Bons/Boas,Muito bom,Muito bom,Regular,Boas
Discente do Técnico,Poços de Caldas,1°  ,Técnico em Administração | Integrado,Discordo plenamente,Concordo,Discordo,Bom/Boa,Boa,Bons/Boas,Muito ruim,Não sei,Muito ruim,Regulares
Discente do Técnico,Poços de Caldas,3°,Técnico em Desenvolvimento de Sistemas - EaD | Subsequente,Não sei responder,Não concordo nem discordo,Discordo plenamente,Bom/Boa,Não sei responder,Não sei responder,Não sei,Não sei,Não sei,Não sei responder
Discente do Superior,Poços de Caldas,8°,Licenciatura Geografia,Concordo,Concordo,Concordo,Muito Bom/Boa,Muito boa,Regulares,Muito bom,Muito bom,Muito bom,Muito boas
Discente do Superior,Poços de Caldas,2°,Licenciatura Geografia,Concordo,Concordo,Concordo,Regular,Não sei responder,Regulares,Muito bom,Não sei,Prefiro não responder,Boas
Discente do Técnico,Poços de Caldas,2°  ,Técnico em Informática | Integrado,Concordo,Concordo plenamente,Concordo plenamente,Bom/Boa,Boa,Bons/Boas,Muito bom,Não sei,Ruim,Não sei responder
TAE,Poços de Caldas,,,Concordo plenamente,Concordo plenamente,Concordo plenamente,Muito Bom/Boa,Não sei responder,Muito Bons/Boas,Bom,Muito bom,Regular,Muito boas
Discente do Superior,Poços de Caldas,4°,Licenciatura Geografia,Discordo,Não sei responder,Não sei responder,Regular,Não sei responder,Ruins,Não sei,Não sei,Não sei,Ruins
Docente,Poços de Caldas,,,Concordo plenamente,Concordo plenamente,Concordo plenamente,Muito Bom/Boa,Muito boa,Muito Bons/Boas,Muito bom,Muito bom,Muito bom,Boas
Discente do Técnico,Poços de Caldas,3°  ,Técnico em Eletroeletrônica | Integrado,"Não concordo, nem discordo",Concordo plenamente,Discordo,Bom/Boa,Muito boa,Ruins,Regular,Bom,Muito ruim,Não sei responder
Discente do Técnico,Poços de Caldas,6°,Técnico em Administração | Integrado,"Não concordo, nem discordo",Não concordo nem discordo,Não concordo nem discordo,Muito Bom/Boa,Boa,Muito Bons/Boas,Prefiro não responder,Bom,Ruim,Boas
Discente do Técnico,Poços de Caldas,4°,Técnico em Informática | Integrado,Concordo plenamente,Concordo plenamente,Não concordo nem discordo,Bom/Boa,Boa,Muito Bons/Boas,Bom,Regular,Regular,Regulares
Docente,Poços de Caldas,,,"Não concordo, nem discordo",Concordo,Não concordo nem discordo,Bom/Boa,Boa,Ruins,Regular,Regular,Regular,Boas
TAE,Poços de Caldas,,,Discordo,Discordo,Concordo,Bom/Boa,Não sei responder,Regulares,Não sei,Regular,Bom,Prefiro não responder
Docente,Poços de Caldas,,,Concordo plenamente,Concordo plenamente,Concordo plenamente,Bom/Boa,Muito boa,Muito Bons/Boas,Muito bom,Muito bom,Muito bom,Boas
TAE,Poços de Caldas,,,Concordo plenamente,Concordo,Concordo,Regular,Não sei responder,Regulares,Bom,Bom,Muito ruim,Regulares
Discente do Técnico,Machado,2°  ,Técnico em Agropecuária | Integrado,Concordo plenamente,Concordo,Concordo,Muito Bom/Boa,Não sei responder,Bons/Boas,Regular,Regular,Regular,Boas
