Perfil,Unidade,Serie,Curso,Questão 1. Sei iniciar os procedimentos administrativos,Questão 1. Sei acompanhar os procedimentos administrativos,Questão 1. Sei obter informações para realizar os procedimentos administrativos,Questão 1.As informações são de simples localização,Questão 1. As informações são de simples compreensão,Questão 1. O pedido de esclarecimentos sobre os procedimentos administrativos é respondido de forma satisfatória (clara e rápida).,Questão 2. Você tem conhecimento sobre como é a jornada de trabalho dos Docentes e/ou dos Técnicos Administrativos em Educação?,Questão 3. Os horários de funcionamento dos setores são amplamente divulgados e de fácil acesso.,Questão 3. O horário de atendimento dos docentes é amplamente divulgado e de fácil acesso.,Questão 3. O horário de atendimento dos técnicos administrativos é amplamente divulgado e de fácil acesso,Questão 3. Considero que a flexibilização de 30 horas é benéfica ao desenvolvimento de atividades na instituição.,Questão 3. Considero que a normativa docente é benéfica ao desenvolvimento de atividades na instituição,Questão 4. Você conhece o organograma administrativo do IFSULDEMINAS da sua unidade?,Questão 5.Conheço as instâncias consultivas,Questão 5. Conheço as instâncias deliberativas?,Questão 6.  Você já participou de alguma consulta ou eleição? ,Questão 8. Como você avalia a facilidade de acesso,Questão 8. Como você avalia a segurança no Campus,Questão 9.  Como você avalia os serviços de segurança no campus?,Questão 10. Como você avalia o serviço prestado pela biblioteca,Questão 10. Como você avalia a quantidade de livros básicos e periódicos recomendados nas unidades curriculares,"Questão 10. Como você avalia a biblioteca quanto ao acesso a computadores, internet e bases de dados disponíveis",Questão 11.  Como você avalia o ambiente para as aulas quanto à adequação ao número de estudantes,Questão 11.  Como você avalia o ambiente para as aulas quanto à acústica,Questão 11.  Como você avalia o ambiente para as aulas quanto à luminosidade,Questão 11.  Como você avalia o ambiente para as aulas quanto à ventilação,Questão 12.  Como você avalia a manutenção/conservação das instalações físicas do seu campus?,Questão 13. Como você avalia o número de equipamentos nos laboratórios de informática?,Questão 14. Como você avalia o número de recursos multimídias?,Questão 15. Como você avalia a adequação dos laboratórios de ensino em relação ao número de alunos?,16. Como você avalia a quantidade de material disponibilizado para as atividades de laboratório ?,Questão 17. As instalações da cantina são adequadas?,Questão 17. Os serviços prestados na cantina são adequados?,Questão17. A diversidade de produtos na cantina,Questão17. A qualidade dos produtos na cantina,Questão 17. As instalações sanitárias e higiene da cantina,Questão18. Como você avalia o espaço físico do campus em relação às necessidades da comunidade acadêmica?,Questão 19. Como você avalia as instalações do campus em relação ao atendimento das pessoas com necessidades específicas?,Questão 20. Como você avalia os serviços de limpeza no campus?,Questão 21. Você já participou de outras avaliações da CPA?,Questão 22. Você já acessou os resultados de outras avaliações da CPA?,Questão 23. Como você considera a divulgação dos resultados deste processo avaliativo?,Questão 24. Há interesse em conhecer o resultado deste processo avaliativo?,Questão 25. Você consegue perceber que os resultados da autoavaliação institucional são utilizados na revisão do planejamento e das ações do IFSULDEMINAS?,Questão 25. Você consegue perceber que foram atendidos os pedidos e sugestões feitos nos questionários das semanas de autoavaliações anteriores?,Questão 26. Como você avalia o programa de assistência à saúde.,Questão 26. Como você avalia o programa de apoio às pessoas com necessidades educacionais específicas,Questão 26. Como você avalia o programa de auxílio estudantil.,"Questão 26. Como você avalia o programa de auxílio à participação em eventos acadêmicos, científicos e tecnológicos.",Questão 26. Como você avalia o programa de mobilidade estudantil nacional e internacional.,Questão 26. Como você avalia o programa de acompanhamento psicológico.,Questão 26. Como você avalia o programa de acompanhamento pedagógico.,Questão 26. Como você avalia o programa de acompanhamento de serviço social,"Questão 26. Como você avalia o programa de incentivo ao esporte, ao lazer e a cultura","Questão 26. Como você avalia a organização de grêmios estudantis, centros acadêmicos e diretórios acadêmicos",Questão 26. Como você avalia a divulgação dos programas de atendimento aos discentes,Questão 27. Como você avalia a compatibilidade entre cursos oferecidos e os recursos disponíveis para cada curso?,Questão 28. Você considera que os recursos financeiros destinados ao IFSULDEMINAS para o desenvolvimento de suas atividades são  suficientes e completos?,Questão 29. Como você avalia a eficiência e eficácia com que os recursos financeiros do IFSULDEMINAS são aplicados?
Discente do Técnico,Machado,3°  ,Técnico em Alimentos | Integrado,Discordo plenamente,Concordo,"Não concordo, nem discordo",Discordo,"Não concordo, nem discordo","Não concordo, nem discordo",Parcialmente,Discordo plenamente,Concordo,Discordo plenamente,Não sei responder,Não sei responder,Não,Não,Não,Sim,Regular,Regular,Regulares,Bom/Boa,Regular,Muito bom/boa,Regular,Bom/Boa,Bom/Boa,Bom/Boa,Ruim,Não sei responder,Bom,Boa,Regular,Regulares,Regulares,Muito ruins,Ruins,Regulares,Bom,Regular,Regulares,Sim,Não,Ineficiente,Não,Não é perceptível nem imperceptível,Perceptível,Não sei,Não sei,Não sei,Não sei,Não sei,Não sei,Não sei,Não sei,Não sei,Não sei,Muito ruim,Regular,Ruins,Muito ruins
Discente do Técnico,Machado,3°,Técnico em Informática | Integrado,"Não concordo, nem discordo","Não concordo, nem discordo",Discordo,Discordo plenamente,Discordo plenamente,Não sei responder,Não,Não concordo nem discordo,Concordo,Discordo plenamente,Não sei responder,Não sei responder,Não,Não,Não,Sim,Muito boa,Regular,Regulares,Bom/Boa,Regular,Bom/Boa,Muito Bom/Boa,Regular,Regular,Regular,Boa,Regular,Ruim,Muito boa,Regular,Bons/Boas,Bons/Boas,Bons/Boas,Bons/Boas,Bons/Boas,Bom,Não sei responder,Regulares,Prefiro não responder,Prefiro não responder,Não sei responder,Sim,Não sei responder,Não sei responder,Não sei,Não sei,Não sei,Bom,Não sei,Não sei,Bom,Não sei,Não sei,Regular,Ruim,Não sei responder,Não sei responder,Não sei responder
Discente do Superior,Machado,6°,Bacharelado Sistemas de Informação,Concordo plenamente,Concordo plenamente,"Não concordo, nem discordo",Discordo,Discordo,Concordo,Sim,Concordo,Discordo,Discordo plenamente,Concordo,Concordo,Sim,Não,Sim,Sim,Muito boa,Boa,Muito bons,Muito bom/boa,Muito bom/boa,Regular,Muito Bom/Boa,Muito Bom/Boa,Muito Bom/Boa,Muito Bom/Boa,Muito boa,Muito bom,Muito bom,Boa,Muito boa,Bons/Boas,Bons/Boas,Bons/Boas,Bons/Boas,Bons/Boas,Muito bom,Ruins,Muito bons,Sim,Não,Nem eficiente e nem ineficiente,Sim,Não é perceptível nem imperceptível,Totalmente perceptível,Muito bom,Bom,Muito bom,Muito bom,Muito bom,Muito bom,Muito bom,Muito bom,Muito bom,Bom,Regular,Regular,Bons,Boas
Discente do Técnico,Machado,2°  ,Técnico em Agropecuária | Integrado,Discordo plenamente,Discordo plenamente,Discordo plenamente,Discordo plenamente,Discordo plenamente,Discordo plenamente,Não,Discordo plenamente,Discordo plenamente,Discordo plenamente,Discordo plenamente,Discordo plenamente,Não,Não,Não,Não,Muito ruim,Muito ruim,Muito ruins,Muito ruim,Muito ruim,Muito ruim,Muito ruim,Muito ruim,Muito ruim,Muito ruim,Muito ruim,Muito ruim,Muito ruim,Muito ruim,Muito ruim,Muito ruins,Muito ruins,Muito ruins,Bons/Boas,Muito Bons/Boas,Muito ruim,Ruins,Bons,Não,Não,Totalmente ineficiente,Sim,Totalmente imperceptível,Totalmente imperceptível,Muito ruim,Muito ruim,Muito ruim,Muito ruim,Muito ruim,Muito ruim,Muito ruim,Muito ruim,Muito ruim,Muito ruim,Muito ruim,Muito ruim,Muito ruins,Muito ruins
TAE,Poços de Caldas,,,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Sim,Concordo plenamente,Concordo plenamente,Concordo plenamente,Concordo plenamente,Concordo plenamente,Sim,Sim,Sim,Sim,Boa,Boa,Bons,Bom/Boa,Bom/Boa,Bom/Boa,Bom/Boa,Bom/Boa,Bom/Boa,Bom/Boa,Boa,Bom,Muito bom,Boa,Boa,Bons/Boas,Bons/Boas,Bons/Boas,Bons/Boas,Bons/Boas,Bom,Boas,Bons,Não,Não,Eficiente,Sim,Não sei responder,Não sei responder,Bom,Bom,Bom,Bom,Bom,Bom,Bom,Bom,Bom,Bom,Bom,Boa,Não sei responder,Boas
Discente do Técnico,Poços de Caldas,2°,Técnico em Eletroeletrônica | Integrado,Concordo plenamente,Concordo plenamente,Concordo plenamente,Concordo plenamente,Concordo plenamente,Concordo plenamente,Sim,Concordo plenamente,Concordo plenamente,Concordo plenamente,Concordo plenamente,Concordo plenamente,Sim,Não,Não,Não,Boa,Boa,Ruins,Bom/Boa,Bom/Boa,Regular,Bom/Boa,Bom/Boa,Bom/Boa,Bom/Boa,Regular,Regular,Regular,Regular,Regular,Bons/Boas,Bons/Boas,Bons/Boas,Bons/Boas,Bons/Boas,Bom,Boas,Bons,Não,Não,Eficiente,Não,Perceptível,Perceptível,Regular,Regular,Regular,Regular,Regular,Regular,Regular,Regular,Regular,Regular,Regular,Regular,Regulares,Regulares
Discente do Superior,Poços de Caldas,2°,Licenciatura Ciências Biológicas,Concordo,"Não concordo, nem discordo",Concordo,Concordo,Concordo,Concordo,Parcialmente,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Parcialmente,Não,Não,Não,Regular,Regular,Regulares,Bom/Boa,Regular,Regular,Muito Bom/Boa,Muito Bom/Boa,Bom/Boa,Bom/Boa,Regular,Regular,Regular,Regular,Regular,Regulares,Ruins,Ruins,Ruins,Muito ruins,Regular,Regular,Regulares,Prefiro não responder,Não,Ineficiente,Não,Não é perceptível nem imperceptível,Não é perceptível nem imperceptível,Regular,Regular,Regular,Regular,Regular,Regular,Regular,Regular,Regular,Regular,Regular,Regular,Regulares,Regulares
Discente do Superior,Poços de Caldas,4°,Bacharelado Engenharia de Computação,Discordo plenamente,Discordo plenamente,Discordo plenamente,Discordo plenamente,Discordo plenamente,"Não concordo, nem discordo",Não,Concordo,Concordo,Concordo,Concordo,Concordo,Não,Não,Não,Não,Muito boa,Regular,Regulares,Regular,Bom/Boa,Muito ruim,Bom/Boa,Muito ruim,Muito ruim,Muito ruim,Regular,Bom,Não sei responder,Regular,Boa,Muito ruins,Muito ruins,Muito ruins,Muito ruins,Regulares,Regular,Não sei responder,Regulares,Não,Não,Totalmente ineficiente,Sim,Não é perceptível nem imperceptível,Totalmente imperceptível,Não sei,Não sei,Muito bom,Não sei,Não sei,Não sei,Não sei,Não sei,Não sei,Não sei,Não sei,Regular,Bons,Não sei responder
Discente do Técnico,Poços de Caldas,2°,Técnico em Administração | Integrado,Concordo,Concordo,Concordo,Discordo,Concordo,Concordo,Parcialmente,Não concordo nem discordo,Concordo,Concordo,Concordo,Concordo,Não,Sim,Sim,Não,Boa,Boa,Bons,Bom/Boa,Bom/Boa,Regular,Bom/Boa,Bom/Boa,Bom/Boa,Ruim,Boa,Muito bom,Muito bom,Boa,Boa,Bons/Boas,Bons/Boas,Bons/Boas,Bons/Boas,Bons/Boas,Bom,Boas,Bons,Não,Não,Eficiente,Não,Totalmente perceptível,Perceptível,Bom,Bom,Bom,Bom,Bom,Bom,Bom,Bom,Bom,Bom,Bom,Boa,Bons,Regulares
Discente do Superior,Poços de Caldas,2°,Bacharelado Engenharia de Computação,Concordo,Concordo plenamente,Concordo plenamente,"Não concordo, nem discordo",Concordo plenamente,Concordo plenamente,Parcialmente,Não concordo nem discordo,Concordo,Não sei responder,Não sei responder,Concordo plenamente,Não,Não,Não,Sim,Boa,Regular,Regulares,Muito bom/boa,Muito bom/boa,Muito bom/boa,Muito Bom/Boa,Muito Bom/Boa,Muito Bom/Boa,Regular,Boa,Muito bom,Muito bom,Muito boa,Boa,Muito Bons/Boas,Bons/Boas,Bons/Boas,Bons/Boas,Bons/Boas,Muito bom,Não sei responder,Muito bons,Sim,Não,Não sei responder,Sim,Totalmente perceptível,Não sei responder,Bom,Muito bom,Muito bom,Muito bom,Muito bom,Muito bom,Muito bom,Muito bom,Muito bom,Regular,Muito bom,Muito boa,Ruins,Boas
