Pergunta,Importancia
Questão 26. Como você avalia o programa de acompanhamento de serviço social,0.42680785689414036
"Questão 26. Como você avalia o programa de auxílio à participação em eventos acadêmicos, científicos e tecnológicos.",0.18546168875419136
16. Como você avalia a quantidade de material disponibilizado para as atividades de laboratório ?,0.18392969119047867
Questão 3. O horário de atendimento dos técnicos administrativos é amplamente divulgado e de fácil acesso,0.10716385389785243
"Questão 26. Como você avalia a organização de grêmios estudantis, centros acadêmicos e diretórios acadêmicos",0.0614335246792533
Questão 3. O horário de atendimento dos docentes é amplamente divulgado e de fácil acesso.,0.026348322416447134
Questão 29. Como você avalia a eficiência e eficácia com que os recursos financeiros do IFSULDEMINAS são aplicados?,0.008855062167636743
Questão 1. Sei obter informações para realizar os procedimentos administrativos,0.0
Questão 11.  Como você avalia o ambiente para as aulas quanto à acústica,0.0
Questão 17. Os serviços prestados na cantina são adequados?,0.0
