Curso,Média
Técnico em Logística - EaD | Subsequente,5.0
Técnico em Informática para Internet - EaD | Subsequente,4.5
Técnico em Alimentos | Subsequente,4.1
Pós-graduação Energia Solar Fotovoltaica,4.0
Bacharelado Ciência e Tecnologia de Alimentos,3.8444444444444446
Técnico em Segurança do Trabalho | Subsequente,3.8333333333333335
Mestrado Ciência e Tecnologia de Alimentos,3.7181818181818183
Licenciatura em Matemática,3.6666666666666674
Enfermagem | Subsequente,3.6333333333333333
Engenharia de Agrimensura e Cartográfica,3.633333333333333
Técnico em Eletroeletrônica | Integrado,3.621428571428571
Técnico em Administração | Subsequente,3.5888888888888886
Licenciatura em Ciências Biológicas,3.5600000000000005
Técnico em Produção de Moda | Integrado,3.5428571428571423
Licenciatura Educação Física,3.54
Tecnologia em Cafeicultura,3.5318181818181817
Técnico em Eletrotécnica | Subsequente,3.5181818181818176
Bacharelado Engenharia Agronômica,3.5028571428571427
Bacharelado em Administração,3.501282051282051
Educação Física - ABI,3.46
Segurança do Trabalho | Subsequente,3.44
Técnico em Comunicação Visual (nova nomenclatura a partir de 2023: Design Gráfico) | Integrado,3.4200000000000004
Técnico em Informática - Presencial | Integrado,3.4166666666666665
Licenciatura Ciências Biológicas,3.4136363636363627
Licenciatura em Pedagogia,3.3823529411764706
Engenharia Ambiental,3.35
Técnico em Agropecuária | Subsequente,3.35
Técnico em Alimentos | Integrado,3.3482142857142856
Técnico em Química | Integrado,3.333333333333333
Técnico em Meio Ambiente | Integrado,3.3304347826086955
Bacharelado Ciência da Computação,3.2736842105263153
Tecnologia em Redes de Computadores,3.2600000000000002
Bacharelado Zootecnia,3.26
Licenciatura em Pedagogia - UAB,3.25
Técnico em Administração | Integrado,3.2380952380952386
Tecnologia em Gestão Ambiental,3.2222222222222223
Bacharelado Sistemas de Informação,3.2054545454545456
Técnico em Agropecuária | Integrado,3.1757575757575762
Tecnologia Design de Moda,3.1692307692307695
Bacharelado Agronomia,3.156989247311828
Técnico em Informática | Integrado,3.1526315789473687
Bacharelado Engenharia de Computação,3.134375
Licenciatura Química,3.1166666666666667
Bacharelado Medicina Veterinária,3.1159999999999997
Licenciatura em Educação do Campo - Área Ciências Agrárias,3.1
Engenharia Agronômica,3.1
Técnico em Edificações | Integrado,3.033333333333333
Bacharelado Educação Física,3.033333333333333
Tecnologia Produção Publicitária,3.014285714285714
Bacharelado Engenharia Química,2.99375
Licenciatura Geografia,2.9277777777777776
Bacharelado Engenharia Civil,2.757142857142857
Suporte e Manutenção de Computadores - EaD | Subsequente,2.7550000000000003
Licenciatura Matemática,2.7
Técnico em Química | Subsequente,2.7
Engenharia de Alimentos,2.68
Técnico em Recursos Humanos - EaD | Subsequente,2.6733333333333333
Licenciatura Pedagogia EaD,2.656521739130435
"Especialização Lato Sensu em Higiene, Ciência e Tecnologia de Alimentos",2.6
Pós Graduação Educação Inclusiva,2.557142857142857
Licenciatura em História,2.54
Técnico em Enfermagem | Subsequente,2.5
Técnico em Desenvolvimento de Sistemas - EaD | Subsequente,2.46
"Mestrado Profissional em Educação, Profissional e Tecnológica (ProfEPT)",2.375
Técnico em Logística - EaD | Concomitante,2.2
Licenciatura Letras- Português- EaD,1.9625
Técnico em Geoprocessamento | Subsequente,1.9
Técnico em Informática - EaD | Subsequente,1.9
Técnico em Cervejaria - EaD | Subsequente,1.8200000000000003
Vendas - EaD | Subsequente,1.77
Técnico em Serviços Públicos - EaD | Subsequente,1.7
Pós-graduação Informática na Educação,1.3666666666666665
Técnico em Meio Ambiente - EaD | Subsequente,1.3
Pós-graduação Mídias em Educação,1.0
Técnico em Fruticultura - EaD | Subsequente,0.9
